CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Karavalimadapur BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.0683980,77.1594030
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Semmandampalayam BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.1086090,77.2209640
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Appanaickenpatti BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,10.9749010,77.1564230
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Rasipalayam BO,641402,BO,Delivery,COIMBATORE,TAMIL NADU,11.0613140,77.1324040
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Illuppapalayam BO,641302,BO,Delivery,COIMBATORE,TAMIL NADU,11.3377760,76.9986280
Tamilnadu Circle,"Western Region, Coimbatore",Tirupur Division,Subbarayanpudur BO,641668,BO,Delivery,COIMBATORE,TAMIL NADU,11.0993390,77.2130670
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Periapodu B.O,642103,BO,Delivery,COIMBATORE,TAMIL NADU,10.6099000,76.8807000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kattampatti B.O,642202,BO,Delivery,COIMBATORE,TAMIL NADU,10.8072000,77.1442000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Moongiltholuvu B.O,642202,BO,Delivery,COIMBATORE,TAMIL NADU,10.7640000,77.2129000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Arasampalayam B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.0579000,77.5207000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Muthur B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.8052000,77.0526000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Solavampalayam B.O,642109,BO,Delivery,COIMBATORE,TAMIL NADU,10.8377000,77.0259000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Devarayapuram B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.9991000,76.8173000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kaliapuram B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.5400000,76.9211000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Poravipalayam B.O,642110,BO,Delivery,COIMBATORE,TAMIL NADU,10.0973000,76.9386000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,T.Kottampatti B.O,642002,BO,Non Delivery,COIMBATORE,TAMIL NADU,10.6690000,77.0190000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Pollachi West B.O,642001,BO,Delivery,COIMBATORE,TAMIL NADU,10.6547000,77.0046000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Andipalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7368000,77.0982000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kondegoundenpalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7236000,77.1088000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Senguttaipalayam B.O,642120,BO,Delivery,COIMBATORE,TAMIL NADU,10.7112000,77.0556000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Zamin Kottampatti B.O,642123,BO,Delivery,COIMBATORE,TAMIL NADU,10.5910000,77.0140000
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Topslip B.O,642133,BO,Delivery,COIMBATORE,TAMIL NADU,10.6472000,76.9625500
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Pethanaickanur B.O,642134,BO,Delivery,COIMBATORE,TAMIL NADU,10.6572877,77.0106553
Tamilnadu Circle,"Western Region, Coimbatore",Pollachi Division,Kurunallipalayam B.O,641202,BO,Delivery,COIMBATORE,TAMIL NADU,10.8150000,77.0839000
